运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
T001,阶段1_地面准备,360.0,1672.7,直连,
T002,阶段1_地面准备,360.0,1173.0,直连,
T002,阶段2_O01->S007 巡航,1174.0,1592.0,中继,RT01
T002,阶段3_S007->O01 巡航,1593.0,2070.6,直连,
T003,阶段1_地面准备,360.0,1151.0,直连,
T003,阶段2_O01->S010 巡航,1152.0,1559.0,中继,RT02
T003,阶段3_S010->O01 巡航,1560.0,2010.7,直连,
T004,阶段1_地面准备,360.0,1138.0,直连,
T004,阶段2_O01->S013 巡航,1139.0,1529.0,中继,RT02
T004,阶段3_S013->O01 巡航,1530.0,1966.1,直连,
T005,阶段1_地面准备,360.0,1135.0,直连,
T005,阶段2_O01->S014 巡航,1136.0,1714.0,中继,RT02
T005,阶段3_S014->O01 巡航,1715.0,2159.8,直连,
T006,阶段1_地面准备,360.0,1078.0,直连,
T006,阶段2_O01->S012 巡航,1079.0,1845.0,中继,RT02
T006,阶段3_S012->O01 巡航,1846.0,2223.0,直连,
T007,阶段1_地面准备,420.0,1176.0,直连,
T007,阶段2_O01->S002 巡航,1177.0,1826.0,中继,RT02
T007,阶段3_S002->S004 巡航,1827.0,1935.0,中继,RT01
T007,阶段4_S002->S004 下降,1936.0,2214.0,中继,RT02
T007,阶段5_S004->O01 爬升,2215.0,2350.0,中继,RT01
T007,阶段6_S004->O01 巡航,2351.0,2389.0,中继,RT02
T007,阶段7_S004->O01 巡航,2390.0,2923.7,直连,
T008,阶段1_地面准备,540.0,2167.1,直连,
T009,阶段1_地面准备,2047.1,2900.1,直连,
T009,阶段2_O01->S003 巡航,2901.1,3860.1,中继,RT01
T009,阶段3_S003->O01 巡航,3861.1,4336.3,直连,
T010,阶段1_地面准备,2189.8,2988.8,直连,
T010,阶段2_O01->S015 巡航,2989.8,3574.8,中继,RT01
T010,阶段3_S015->O01 巡航,3575.8,4014.6,直连,
T011,阶段1_地面准备,2253.0,2961.0,直连,
