服务区编号,服务区名称,往返距离(km),单程水平距离(km),巡航海拔(m),A型最大安全载荷(kg),B型最大安全载荷(kg),C型最大安全载荷(kg),安全余量eta
S001,平旺、那龙、镇龙乡,6.13,3.06,272.9,25.0,30.0,80.0,0.1
S002,上良,14.87,7.44,308.1,25.0,30.0,78.38,0.1
S003,六造、那旭、都长,14.52,7.26,553.7,25.0,30.0,78.32,0.1
S004,大站,15.49,7.75,400.3,25.0,30.0,74.55,0.1
S005,上良、古律、那麓,10.6,5.3,324.0,25.0,30.0,80.0,0.1
S006,六昌、木路,6.36,3.18,366.1,25.0,30.0,80.0,0.1
S007,佛子、那桑、银坑,9.07,4.53,500.6,25.0,30.0,80.0,0.1
S008,古麻、大站,16.22,8.11,366.9,25.0,30.0,71.17,0.1
S009,那龙,11.45,5.72,292.7,25.0,30.0,80.0,0.1
S010,镇龙乡,9.56,4.78,433.5,25.0,30.0,80.0,0.1
S011,那从,5.63,2.82,291.4,25.0,30.0,80.0,0.1
S012,镇龙乡,14.8,7.4,412.8,25.0,30.0,78.02,0.1
S013,镇龙乡,9.7,4.85,395.1,25.0,30.0,80.0,0.1
S014,镇龙乡,10.82,5.41,585.9,25.0,30.0,80.0,0.1
S015,六造、那托、那旭,12.04,6.02,568.5,25.0,30.0,80.0,0.1
S001,平旺、那龙、镇龙乡,6.13,3.06,272.9,25.0,30.0,80.0,0.15
S002,上良,14.87,7.44,308.1,25.0,30.0,73.99,0.15
S003,六造、那旭、都长,14.52,7.26,553.7,25.0,30.0,73.86,0.15
S004,大站,15.49,7.75,400.3,25.0,30.0,69.52,0.15
S005,上良、古律、那麓,10.6,5.3,324.0,25.0,30.0,80.0,0.15
S006,六昌、木路,6.36,3.18,366.1,25.0,30.0,80.0,0.15
S007,佛子、那桑、银坑,9.07,4.53,500.6,25.0,30.0,80.0,0.15
S008,古麻、大站,16.22,8.11,366.9,25.0,30.0,65.59,0.15
S009,那龙,11.45,5.72,292.7,25.0,30.0,80.0,0.15
S010,镇龙乡,9.56,4.78,433.5,25.0,30.0,80.0,0.15
S011,那从,5.63,2.82,291.4,25.0,30.0,80.0,0.15
S012,镇龙乡,14.8,7.4,412.8,25.0,30.0,73.55,0.15
S013,镇龙乡,9.7,4.85,395.1,25.0,30.0,80.0,0.15
S014,镇龙乡,10.82,5.41,585.9,25.0,30.0,80.0,0.15
S015,六造、那托、那旭,12.04,6.02,568.5,25.0,30.0,80.0,0.15
S001,平旺、那龙、镇龙乡,6.13,3.06,272.9,25.0,30.0,80.0,0.2
S002,上良,14.87,7.44,308.1,25.0,30.0,68.56,0.2
S003,六造、那旭、都长,14.52,7.26,553.7,25.0,30.0,68.33,0.2
S004,大站,15.49,7.75,400.3,25.0,30.0,63.23,0.2
S005,上良、古律、那麓,10.6,5.3,324.0,25.0,30.0,80.0,0.2
S006,六昌、木路,6.36,3.18,366.1,25.0,30.0,80.0,0.2
S007,佛子、那桑、银坑,9.07,4.53,500.6,25.0,30.0,80.0,0.2
S008,古麻、大站,16.22,8.11,366.9,25.0,28.69,58.53,0.2
S009,那龙,11.45,5.72,292.7,25.0,30.0,80.0,0.2
S010,镇龙乡,9.56,4.78,433.5,25.0,30.0,80.0,0.2
S011,那从,5.63,2.82,291.4,25.0,30.0,80.0,0.2
S012,镇龙乡,14.8,7.4,412.8,25.0,30.0,68.02,0.2
S013,镇龙乡,9.7,4.85,395.1,25.0,30.0,80.0,0.2
S014,镇龙乡,10.82,5.41,585.9,25.0,30.0,80.0,0.2
S015,六造、那托、那旭,12.04,6.02,568.5,25.0,30.0,80.0,0.2
S001,平旺、那龙、镇龙乡,6.13,3.06,272.9,25.0,30.0,80.0,0.25
S002,上良,14.87,7.44,308.1,25.0,29.89,61.66,0.25
S003,六造、那旭、都长,14.52,7.26,553.7,25.0,29.13,61.3,0.25
S004,大站,15.49,7.75,400.3,25.0,27.2,55.09,0.25
S005,上良、古律、那麓,10.6,5.3,324.0,25.0,30.0,80.0,0.25
S006,六昌、木路,6.36,3.18,366.1,25.0,30.0,80.0,0.25
S007,佛子、那桑、银坑,9.07,4.53,500.6,25.0,30.0,80.0,0.25
