架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）,_累计作业时间(s),_货箱数
T001,S001,C,"S001-MED-01,S001-MED-02,S001-WAT-01,S001-WAT-02,S001-WAT-03,S001-WAT-04,S001-WAT-05",76.0,0.159,619.1,2.9261,63.42,1561.1,7
T002,S001,C,"S001-WAT-06,S001-WAT-07,S001-WAT-08,S001-FOD-01,S001-FOD-02,S001-FOD-03,S001-HYG-01,S001-HYG-02",78.0,0.235,619.1,3.0045,62.44,1627.1,8
T003,S002,B,"S002-MED-01,S002-WAT-01,S002-FOD-01",25.0,0.067,1188.7,2.7214,31.96,1818.7,3
T004,S002,C,"S002-WAT-02,S002-WAT-03,S002-WAT-04,S002-FOD-02,S002-HYG-01",56.0,0.144,1233.6,5.7387,28.27,2043.6,5
T005,S003,B,"S003-MED-01,S003-WAT-01,S003-FOD-01",25.0,0.067,1438.3,2.7743,30.64,2068.3,3
T006,S003,C,"S003-WAT-02,S003-WAT-03,S003-WAT-04,S003-FOD-02,S003-HYG-01",56.0,0.144,1545.2,5.7572,28.03,2355.2,5
T007,S004,C,"S004-MED-01,S004-WAT-01,S004-WAT-02,S004-WAT-03,S004-FOD-01,S004-HYG-01",59.0,0.156,1432.8,6.1784,22.77,2308.8,6
T008,S005,C,"S005-MED-01,S005-WAT-01,S005-WAT-02,S005-WAT-03,S005-FOD-01,S005-HYG-01",59.0,0.156,999.7,4.2369,47.04,1875.7,6
T009,S006,C,"S006-MED-01,S006-WAT-01,S006-WAT-02,S006-WAT-03,S006-FOD-01,S006-HYG-01",59.0,0.156,685.0,2.594,67.58,1561.0,6
T010,S007,C,"S007-MED-01,S007-WAT-01,S007-WAT-02,S007-FOD-01,S007-HYG-01",45.0,0.129,1076.9,3.4024,57.47,1886.9,5
T011,S008,C,"S008-MED-01,S008-WAT-01,S008-WAT-02,S008-FOD-01,S008-HYG-01",45.0,0.129,1382.9,5.8532,26.83,2192.9,5
T012,S009,B,"S009-MED-01,S009-WAT-01,S009-FOD-01",25.0,0.067,930.0,2.1021,47.45,1560.0,3
T013,S010,B,"S010-MED-01,S010-WAT-01,S010-FOD-01",25.0,0.067,921.4,1.8197,54.51,1551.4,3
T014,S011,B,"S011-MED-01,S011-WAT-01,S011-FOD-01",25.0,0.067,553.8,1.0748,73.13,1183.8,3
T015,S012,B,"S012-MED-01,S012-WAT-01,S012-FOD-01",25.0,0.067,1293.0,2.7549,31.13,1923.0,3
T016,S013,B,"S013-MED-01,S013-WAT-01,S013-FOD-01",25.0,0.067,874.4,1.8222,54.45,1504.4,3
T017,S014,B,"S014-MED-01,S014-WAT-01,S014-FOD-01",25.0,0.067,1229.8,2.1337,46.66,1859.8,3
T018,S015,B,"S015-MED-01,S015-WAT-01,S015-FOD-01",25.0,0.067,1194.8,2.3089,42.28,1824.8,3
