架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,BAT_C_01,0.0,S001 -> S002,2501.0,5.801443
T002,U01,A,BAT_A_01,0.0,S001 -> S012,2430.1,2.981205
T003,U08,C,BAT_C_02,0.0,S001 -> S009,2104.0,4.702157
T004,U02,A,BAT_A_02,0.0,S002,2006.6,3.027645
T005,U05,B,BAT_B_01,0.0,S014,1859.8,2.133703
T006,U06,B,BAT_B_02,0.0,S006,1266.7,1.222511
T007,U03,A,BAT_A_03,0.0,S012,2109.7,3.061225
T008,U04,A,BAT_A_04,0.0,S007,1710.6,1.963617
T009,U04,A,BAT_A_05,1710.6,S006 -> S007 -> S011,4080.0,2.356307
T010,U06,B,BAT_B_03,1266.7,S006 -> S007,3151.7,2.006117
T011,U05,B,BAT_B_04,1859.8,S010,3411.3,1.819742
T012,U08,C,BAT_C_03,2104.0,S002 -> S009 -> S001,4793.9,6.023936
T013,U02,A,BAT_A_06,2006.6,S013,3612.7,1.955299
T014,U01,A,BAT_A_04,2778.9,S008,4946.3,3.316728
T015,U07,C,BAT_C_04,2501.0,S004 -> S005,5082.6,6.229591
T016,U06,B,BAT_B_02,3151.7,S005 -> S008,5368.7,2.858111
T017,U08,C,BAT_C_02,4793.9,S011 -> S015 -> S003,7730.5,5.680575
T018,U05,B,BAT_B_01,3452.1,S015 -> S005,5758.8,2.794618
T019,U06,B,BAT_B_03,5368.7,S008,7265.8,2.769992
T020,U03,A,BAT_A_02,3382.3,S004,5569.3,3.204566
T021,U07,C,BAT_C_01,5082.6,S003,7437.8,5.757244
T022,U02,A,BAT_A_03,3612.7,S001 -> S005,5571.8,2.31793
T023,U04,A,BAT_A_01,4080.0,S013 -> S011,6148.1,2.571065
T024,U05,B,BAT_B_04,5758.8,S006 -> S007,7643.8,1.71006
