架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）,返航SOC（%）,充电耗时（s）,电池就绪时刻（s）
T001,U07,C,BAT_C_01,0.0,S001 -> S002,2501.0,5.801443,27.48,2404.6,4906.6
T002,U01,A,BAT_A_01,0.0,S001 -> S012,2430.1,2.981205,33.75,1361.2,3792.4
T003,U08,C,BAT_C_02,0.0,S001 -> S009,2104.0,4.702157,41.22,2106.8,4211.9
T004,U02,A,BAT_A_02,0.0,S002,2006.6,3.027645,32.72,1374.7,3382.3
T005,U05,B,BAT_B_01,0.0,S014,1859.8,2.133703,46.66,1591.3,3452.1
T006,U06,B,BAT_B_02,0.0,S006,1266.7,1.222511,69.44,1196.4,2464.2
T007,U03,A,BAT_A_03,0.0,S012,2109.7,3.061225,31.97,1384.4,3495.1
T008,U04,A,BAT_A_04,0.0,S007,1710.6,1.963617,56.36,1067.3,2778.9
T009,U04,A,BAT_A_05,1710.6,S006 -> S007 -> S011,4080.0,2.356307,47.64,1180.7,5261.8
T010,U06,B,BAT_B_03,1266.7,S006 -> S007,3151.7,2.006117,49.85,1536.0,4688.7
T011,U05,B,BAT_B_04,1859.8,S010,3411.3,1.819742,54.51,1455.2,4867.6
T012,U08,C,BAT_C_03,2104.0,S002 -> S009 -> S001,4793.9,6.023936,24.7,2464.8,7259.8
T013,U02,A,BAT_A_06,2006.6,S013,3612.7,1.955299,56.55,1064.9,4678.6
T014,U01,A,BAT_A_04,2778.9,S008,4946.3,3.316728,26.29,1458.2,6405.5
T015,U07,C,BAT_C_04,2501.0,S004 -> S005,5082.6,6.229591,22.13,2520.5,7604.2
T016,U06,B,BAT_B_02,3151.7,S005 -> S008,5368.7,2.858111,28.55,1905.2,7274.9
T017,U08,C,BAT_C_02,4793.9,S011 -> S015 -> S003,7730.5,5.680575,28.99,2371.8,10103.4
T018,U05,B,BAT_B_01,3452.1,S015 -> S005,5758.8,2.794618,30.13,1877.7,7637.5
T019,U06,B,BAT_B_03,5368.7,S008,7265.8,2.769992,30.75,1867.0,9133.8
T020,U03,A,BAT_A_02,3382.3,S004,5569.3,3.204566,28.79,1425.8,6996.1
T021,U07,C,BAT_C_01,5082.6,S003,7437.8,5.757244,28.03,2392.6,9831.4
T022,U02,A,BAT_A_03,3612.7,S001 -> S005,5571.8,2.31793,48.49,1169.6,6742.5
T023,U04,A,BAT_A_01,4080.0,S013 -> S011,6148.1,2.571065,42.87,1242.8,7391.9
T024,U05,B,BAT_B_04,5758.8,S006 -> S007,7643.8,1.71006,57.25,1407.7,9052.5
