货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-WAT-04,T001,S001,1206.7
S001-WAT-03,T001,S001,1206.7
S002-WAT-04,T001,S002,1879.6
S002-MED-01,T001,S002,1879.6
S001-WAT-01,T001,S001,1206.7
S002-FOD-01,T001,S002,1879.6
S001-MED-01,T001,S001,1206.7
S001-HYG-01,T001,S001,1206.7
S001-WAT-02,T002,S001,939.2
S001-MED-02,T002,S001,939.2
S012-MED-01,T002,S012,1655.2
S001-WAT-07,T003,S001,1146.7
S001-WAT-08,T003,S001,1146.7
S001-WAT-06,T003,S001,1146.7
S001-WAT-05,T003,S001,1146.7
S009-WAT-01,T003,S009,1614.9
S001-FOD-02,T003,S001,1146.7
S002-FOD-02,T004,S002,1285.2
S002-WAT-01,T004,S002,1285.2
S014-MED-01,T005,S014,1237.4
S014-WAT-01,T005,S014,1237.4
S014-FOD-01,T005,S014,1237.4
S006-WAT-02,T006,S006,942.1
S006-MED-01,T006,S006,942.1
S006-FOD-01,T006,S006,942.1
S012-FOD-01,T007,S012,1334.7
S012-WAT-01,T007,S012,1334.7
S007-WAT-01,T008,S007,1132.9
S007-FOD-01,T008,S007,1132.9
S006-WAT-03,T009,S006,2645.7
S007-MED-01,T009,S007,3218.5
S011-MED-01,T009,S011,3753.3
S006-WAT-01,T010,S006,2118.8
S007-WAT-02,T010,S007,2649.6
S010-FOD-01,T011,S010,2943.0
S010-WAT-01,T011,S010,2943.0
S010-MED-01,T011,S010,2943.0
S009-FOD-01,T012,S009,3972.8
S002-HYG-01,T012,S002,3514.2
S002-WAT-02,T012,S002,3514.2
S002-WAT-03,T012,S002,3514.2
S001-FOD-03,T012,S001,4481.5
S009-MED-01,T012,S009,3972.8
S001-HYG-02,T012,S001,4481.5
S013-WAT-01,T013,S013,3087.2
S013-MED-01,T013,S013,3087.2
S008-FOD-01,T014,S008,4142.8
S008-WAT-01,T014,S008,4142.8
S005-HYG-01,T015,S005,4579.4
S004-HYG-01,T015,S004,4016.4
S005-WAT-01,T015,S005,4579.4
S004-MED-01,T015,S004,4016.4
S004-WAT-02,T015,S004,4016.4
S004-WAT-01,T015,S004,4016.4
S005-FOD-01,T016,S005,4222.2
S008-MED-01,T016,S008,4700.4
S005-WAT-03,T016,S005,4222.2
S003-FOD-01,T017,S003,6947.3
S003-WAT-01,T017,S003,6947.3
S003-MED-01,T017,S003,6947.3
S015-MED-01,T017,S015,6405.7
S011-WAT-01,T017,S011,5752.9
S015-FOD-01,T018,S015,4637.9
S005-MED-01,T018,S005,5283.8
S015-WAT-01,T018,S015,4637.9
S008-WAT-02,T019,S008,6597.4
S008-HYG-01,T019,S008,6597.4
S004-FOD-01,T020,S004,4757.4
S004-WAT-03,T020,S004,4757.4
S003-HYG-01,T021,S003,6654.6
S003-FOD-02,T021,S003,6654.6
S003-WAT-02,T021,S003,6654.6
S003-WAT-04,T021,S003,6654.6
S003-WAT-03,T021,S003,6654.6
S005-WAT-02,T022,S005,5008.4
S001-FOD-01,T022,S001,4491.9
S013-FOD-01,T023,S013,5130.6
S011-FOD-01,T023,S011,5821.3
S006-HYG-01,T024,S006,6610.9
S007-HYG-01,T024,S007,7141.7
