货箱编号,架次编号,服务区编号,交付完成时刻（s）,截止时限（s）,期望时限（s）,是否首批,应急优先系数,货物类型
S001-WAT-04,T001,S001,1206.7,3600.0,3600.0,False,12.0,WAT
S001-WAT-03,T001,S001,1206.7,3600.0,3600.0,False,12.0,WAT
S002-WAT-04,T001,S002,1879.6,3600.0,3600.0,False,12.0,WAT
S002-MED-01,T001,S002,1879.6,3600.0,3600.0,True,24.0,MED
S001-WAT-01,T001,S001,1206.7,3600.0,3600.0,True,12.0,WAT
S002-FOD-01,T001,S002,1879.6,7200.0,7200.0,False,10.0,FOD
S001-MED-01,T001,S001,1206.7,3600.0,3600.0,True,24.0,MED
S001-HYG-01,T001,S001,1206.7,10800.0,10800.0,False,8.0,HYG
S001-WAT-02,T002,S001,939.2,3600.0,3600.0,False,12.0,WAT
S001-MED-02,T002,S001,939.2,3600.0,3600.0,False,24.0,MED
S012-MED-01,T002,S012,1655.2,3600.0,7200.0,True,22.0,MED
S001-WAT-07,T003,S001,1146.7,3600.0,3600.0,False,12.0,WAT
S001-WAT-08,T003,S001,1146.7,3600.0,3600.0,False,12.0,WAT
S001-WAT-06,T003,S001,1146.7,3600.0,3600.0,False,12.0,WAT
S001-WAT-05,T003,S001,1146.7,3600.0,3600.0,False,12.0,WAT
S009-WAT-01,T003,S009,1614.9,10800.0,10800.0,True,8.0,WAT
S001-FOD-02,T003,S001,1146.7,7200.0,7200.0,False,10.0,FOD
S002-FOD-02,T004,S002,1285.2,7200.0,7200.0,False,10.0,FOD
S002-WAT-01,T004,S002,1285.2,3600.0,3600.0,True,12.0,WAT
S014-MED-01,T005,S014,1237.4,3600.0,7200.0,True,22.0,MED
S014-WAT-01,T005,S014,1237.4,3600.0,3600.0,True,12.0,WAT
S014-FOD-01,T005,S014,1237.4,7200.0,7200.0,False,10.0,FOD
S006-WAT-02,T006,S006,942.1,3600.0,3600.0,False,12.0,WAT
S006-MED-01,T006,S006,942.1,3600.0,3600.0,True,24.0,MED
S006-FOD-01,T006,S006,942.1,7200.0,7200.0,False,10.0,FOD
S012-FOD-01,T007,S012,1334.7,7200.0,7200.0,False,10.0,FOD
S012-WAT-01,T007,S012,1334.7,3600.0,3600.0,True,12.0,WAT
S007-WAT-01,T008,S007,1132.9,3600.0,3600.0,True,12.0,WAT
S007-FOD-01,T008,S007,1132.9,7200.0,7200.0,False,10.0,FOD
S006-WAT-03,T009,S006,2645.7,3600.0,3600.0,False,12.0,WAT
S007-MED-01,T009,S007,3218.5,3600.0,3600.0,True,24.0,MED
S011-MED-01,T009,S011,3753.3,10800.0,10800.0,True,16.0,MED
S006-WAT-01,T010,S006,2118.8,3600.0,3600.0,True,12.0,WAT
S007-WAT-02,T010,S007,2649.6,3600.0,3600.0,False,12.0,WAT
S010-FOD-01,T011,S010,2943.0,7200.0,7200.0,False,10.0,FOD
S010-WAT-01,T011,S010,2943.0,3600.0,3600.0,True,12.0,WAT
S010-MED-01,T011,S010,2943.0,3600.0,3600.0,True,24.0,MED
S009-FOD-01,T012,S009,3972.8,14400.0,14400.0,False,6.0,FOD
S002-HYG-01,T012,S002,3514.2,10800.0,10800.0,False,8.0,HYG
S002-WAT-02,T012,S002,3514.2,3600.0,3600.0,False,12.0,WAT
S002-WAT-03,T012,S002,3514.2,3600.0,3600.0,False,12.0,WAT
S001-FOD-03,T012,S001,4481.5,7200.0,7200.0,False,10.0,FOD
S009-MED-01,T012,S009,3972.8,10800.0,10800.0,True,16.0,MED
S001-HYG-02,T012,S001,4481.5,10800.0,10800.0,False,8.0,HYG
S013-WAT-01,T013,S013,3087.2,3600.0,3600.0,True,12.0,WAT
S013-MED-01,T013,S013,3087.2,3600.0,3600.0,True,24.0,MED
S008-FOD-01,T014,S008,4142.8,10800.0,10800.0,False,8.0,FOD
S008-WAT-01,T014,S008,4142.8,7200.0,7200.0,True,10.0,WAT
S005-HYG-01,T015,S005,4579.4,18000.0,18000.0,False,4.0,HYG
S004-HYG-01,T015,S004,4016.4,14400.0,14400.0,False,6.0,HYG
S005-WAT-01,T015,S005,4579.4,10800.0,10800.0,True,8.0,WAT
S004-MED-01,T015,S004,4016.4,7200.0,7200.0,True,20.0,MED
S004-WAT-02,T015,S004,4016.4,7200.0,7200.0,False,10.0,WAT
S004-WAT-01,T015,S004,4016.4,7200.0,7200.0,True,10.0,WAT
S005-FOD-01,T016,S005,4222.2,14400.0,14400.0,False,6.0,FOD
S008-MED-01,T016,S008,4700.4,7200.0,7200.0,True,20.0,MED
S005-WAT-03,T016,S005,4222.2,10800.0,10800.0,False,8.0,WAT
S003-FOD-01,T017,S003,6947.3,10800.0,10800.0,False,8.0,FOD
S003-WAT-01,T017,S003,6947.3,7200.0,7200.0,True,10.0,WAT
S003-MED-01,T017,S003,6947.3,7200.0,7200.0,True,20.0,MED
S015-MED-01,T017,S015,6405.7,7200.0,7200.0,True,18.0,MED
S011-WAT-01,T017,S011,5752.9,10800.0,10800.0,True,8.0,WAT
S015-FOD-01,T018,S015,4637.9,14400.0,14400.0,False,6.0,FOD
S005-MED-01,T018,S005,5283.8,10800.0,10800.0,True,16.0,MED
S015-WAT-01,T018,S015,4637.9,10800.0,10800.0,True,8.0,WAT
S008-WAT-02,T019,S008,6597.4,7200.0,7200.0,False,10.0,WAT
S008-HYG-01,T019,S008,6597.4,14400.0,14400.0,False,6.0,HYG
S004-FOD-01,T020,S004,4757.4,10800.0,10800.0,False,8.0,FOD
S004-WAT-03,T020,S004,4757.4,7200.0,7200.0,False,10.0,WAT
S003-HYG-01,T021,S003,6654.6,14400.0,14400.0,False,6.0,HYG
S003-FOD-02,T021,S003,6654.6,10800.0,10800.0,False,8.0,FOD
S003-WAT-02,T021,S003,6654.6,7200.0,7200.0,False,10.0,WAT
S003-WAT-04,T021,S003,6654.6,7200.0,7200.0,False,10.0,WAT
S003-WAT-03,T021,S003,6654.6,7200.0,7200.0,False,10.0,WAT
S005-WAT-02,T022,S005,5008.4,10800.0,10800.0,False,8.0,WAT
S001-FOD-01,T022,S001,4491.9,7200.0,7200.0,False,10.0,FOD
