架次编号,中继机,能源组件,服务开始_s,服务结束_s,返回O01_s,周转状态,能量余量_kWh
T001,,,0.0,2501.0,2501.0,无需中继,
T002,,,0.0,2430.1,2430.1,无需中继,
T003,,,0.0,2104.0,2104.0,无需中继,
T004,,,0.0,2006.6,2006.6,无需中继,
T005,,,0.0,1859.8,1859.8,无需中继,
T006,,,0.0,1266.7,1266.7,无需中继,
T007,,,0.0,2109.7,2109.7,无需中继,
T008,,,0.0,1710.6,1710.6,无需中继,
T009,,,1710.6,4080.0,4080.0,无需中继,
T010,,,1266.7,3151.7,3151.7,无需中继,
T011,,,1859.8,3411.3,3411.3,无需中继,
T012,,,2104.0,4793.9,4793.9,无需中继,
T013,,,2006.6,3612.7,3612.7,无需中继,
T014,,,2778.9,4946.3,4946.3,无需中继,
T015,,,2501.0,5082.6,5082.6,无需中继,
T016,,,3151.7,5368.7,5368.7,无需中继,
T017,,,4793.9,7730.5,7730.5,无需中继,
T018,,,3452.1,5758.8,5758.8,无需中继,
T019,,,5368.7,7265.8,7265.8,无需中继,
T020,,,3382.3,5569.3,5569.3,无需中继,
T021,,,5082.6,7437.8,7437.8,无需中继,
T022,,,3612.7,5571.8,5571.8,无需中继,
T023,,,4080.0,6148.1,6148.1,无需中继,
T024,,,5758.8,7643.8,7643.8,无需中继,
