架次编号,无人机编号,机型编号,阶段,采样比例,通信状态,中继位置,中继海拔,直连损耗_dB,直连阈值_dB,直连LOS,覆盖证据
T001,U07,C,航段0,0.00,直连,,,79.85,122.00,true,接入40.05dB/回传79.85dB
T001,U07,C,航段0,0.05,直连,,,85.24,122.00,true,接入83.76dB/回传79.85dB
T001,U07,C,航段0,0.10,直连,,,90.20,122.00,true,接入89.78dB/回传79.85dB
T001,U07,C,航段0,0.15,直连,,,93.49,122.00,true,接入93.30dB/回传79.85dB
T001,U07,C,航段0,0.20,直连,,,95.91,122.00,true,接入95.80dB/回传79.85dB
T001,U07,C,航段0,0.25,直连,,,97.81,122.00,true,接入97.74dB/回传79.85dB
T001,U07,C,航段0,0.30,直连,,,99.37,122.00,true,接入99.32dB/回传79.85dB
T001,U07,C,航段0,0.35,直连,,,100.70,122.00,true,接入100.66dB/回传79.85dB
T001,U07,C,航段0,0.40,直连,,,101.85,122.00,true,接入101.82dB/回传79.85dB
T001,U07,C,航段0,0.45,直连,,,102.86,122.00,true,接入102.84dB/回传79.85dB
T001,U07,C,航段0,0.50,直连,,,103.78,122.00,true,接入103.76dB/回传79.85dB
T001,U07,C,航段0,0.55,直连,,,104.60,122.00,true,接入104.59dB/回传79.85dB
T001,U07,C,航段0,0.60,直连,,,105.35,122.00,true,接入105.34dB/回传79.85dB
T001,U07,C,航段0,0.65,直连,,,106.05,122.00,true,接入106.04dB/回传79.85dB
T001,U07,C,航段0,0.70,直连,,,106.69,122.00,true,接入106.68dB/回传79.85dB
T001,U07,C,航段0,0.75,直连,,,107.29,122.00,true,接入107.28dB/回传79.85dB
T001,U07,C,航段0,0.80,直连,,,107.85,122.00,true,接入107.84dB/回传79.85dB
T001,U07,C,航段0,0.85,直连,,,108.37,122.00,true,接入108.37dB/回传79.85dB
T001,U07,C,航段0,0.90,直连,,,108.87,122.00,true,接入108.86dB/回传79.85dB
T001,U07,C,航段0,0.95,直连,,,109.34,122.00,true,接入109.33dB/回传79.85dB
T001,U07,C,航段0,1.00,直连,,,109.78,122.00,true,接入109.78dB/回传79.85dB
T001,U07,C,航段1,0.00,直连,,,109.78,122.00,true,接入109.78dB/回传79.85dB
T001,U07,C,航段1,0.05,直连,,,110.38,122.00,true,接入110.38dB/回传79.85dB
T001,U07,C,航段1,0.10,直连,,,110.94,122.00,true,接入110.94dB/回传79.85dB
T001,U07,C,航段1,0.15,直连,,,111.47,122.00,true,接入111.46dB/回传79.85dB
T001,U07,C,航段1,0.20,直连,,,111.96,122.00,true,接入111.96dB/回传79.85dB
T001,U07,C,航段1,0.25,直连,,,112.43,122.00,true,接入112.43dB/回传79.85dB
T001,U07,C,航段1,0.30,直连,,,112.87,122.00,true,接入112.87dB/回传79.85dB
T001,U07,C,航段1,0.35,直连,,,113.30,122.00,true,接入113.30dB/回传79.85dB
T001,U07,C,航段1,0.40,直连,,,113.70,122.00,true,接入113.70dB/回传79.85dB
T001,U07,C,航段1,0.45,直连,,,114.09,122.00,true,接入114.09dB/回传79.85dB
T001,U07,C,航段1,0.50,直连,,,114.46,122.00,true,接入114.46dB/回传79.85dB
T001,U07,C,航段1,0.55,直连,,,114.81,122.00,true,接入114.81dB/回传79.85dB
T001,U07,C,航段1,0.60,直连,,,115.15,122.00,true,接入115.15dB/回传79.85dB
T001,U07,C,航段1,0.65,直连,,,115.48,122.00,true,接入115.48dB/回传79.85dB
T001,U07,C,航段1,0.70,直连,,,115.79,122.00,true,接入115.79dB/回传79.85dB
T001,U07,C,航段1,0.75,直连,,,116.10,122.00,true,接入116.10dB/回传79.85dB
T001,U07,C,航段1,0.80,直连,,,116.39,122.00,true,接入116.39dB/回传79.85dB
T001,U07,C,航段1,0.85,直连,,,116.68,122.00,true,接入116.68dB/回传79.85dB
T001,U07,C,航段1,0.90,直连,,,116.95,122.00,true,接入116.95dB/回传79.85dB
T001,U07,C,航段1,0.95,直连,,,117.22,122.00,true,接入117.22dB/回传79.85dB
T001,U07,C,航段1,1.00,直连,,,117.48,122.00,true,接入117.48dB/回传79.85dB
T001,U07,C,航段2,0.00,直连,,,117.48,122.00,true,接入117.48dB/回传79.85dB
T001,U07,C,航段2,0.05,直连,,,117.04,122.00,true,接入117.03dB/回传79.85dB
T001,U07,C,航段2,0.10,直连,,,116.57,122.00,true,接入116.57dB/回传79.85dB
T001,U07,C,航段2,0.15,直连,,,116.07,122.00,true,接入116.07dB/回传79.85dB
T001,U07,C,航段2,0.20,直连,,,115.54,122.00,true,接入115.54dB/回传79.85dB
T001,U07,C,航段2,0.25,直连,,,114.98,122.00,true,接入114.98dB/回传79.85dB
T001,U07,C,航段2,0.30,直连,,,114.38,122.00,true,接入114.38dB/回传79.85dB
T001,U07,C,航段2,0.35,直连,,,113.74,122.00,true,接入113.74dB/回传79.85dB
T001,U07,C,航段2,0.40,直连,,,113.05,122.00,true,接入113.04dB/回传79.85dB
T001,U07,C,航段2,0.45,直连,,,112.29,122.00,true,接入112.29dB/回传79.85dB
T001,U07,C,航段2,0.50,直连,,,111.46,122.00,true,接入111.46dB/回传79.85dB
T001,U07,C,航段2,0.55,直连,,,110.55,122.00,true,接入110.54dB/回传79.85dB
T001,U07,C,航段2,0.60,直连,,,109.53,122.00,true,接入109.52dB/回传79.85dB
T001,U07,C,航段2,0.65,直连,,,108.37,122.00,true,接入108.36dB/回传79.85dB
T001,U07,C,航段2,0.70,直连,,,107.03,122.00,true,接入107.02dB/回传79.85dB
T001,U07,C,航段2,0.75,直连,,,105.45,122.00,true,接入105.44dB/回传79.85dB
T001,U07,C,航段2,0.80,直连,,,103.52,122.00,true,接入103.50dB/回传79.85dB
T001,U07,C,航段2,0.85,直连,,,101.04,122.00,true,接入101.00dB/回传79.85dB
T001,U07,C,航段2,0.90,直连,,,97.55,122.00,true,接入97.48dB/回传79.85dB
T001,U07,C,航段2,0.95,直连,,,91.75,122.00,true,接入91.46dB/回传79.85dB
T001,U07,C,航段2,1.00,直连,,,79.85,122.00,true,接入40.05dB/回传79.85dB
T002,U01,A,航段0,0.00,直连,,,79.85,122.00,true,接入40.05dB/回传79.85dB
T002,U01,A,航段0,0.05,直连,,,85.24,122.00,true,接入83.76dB/回传79.85dB
T002,U01,A,航段0,0.10,直连,,,90.20,122.00,true,接入89.78dB/回传79.85dB
T002,U01,A,航段0,0.15,直连,,,93.49,122.00,true,接入93.30dB/回传79.85dB
T002,U01,A,航段0,0.20,直连,,,95.91,122.00,true,接入95.80dB/回传79.85dB
T002,U01,A,航段0,0.25,直连,,,97.81,122.00,true,接入97.74dB/回传79.85dB
T002,U01,A,航段0,0.30,直连,,,99.37,122.00,true,接入99.32dB/回传79.85dB
T002,U01,A,航段0,0.35,直连,,,100.70,122.00,true,接入100.66dB/回传79.85dB
T002,U01,A,航段0,0.40,直连,,,101.85,122.00,true,接入101.82dB/回传79.85dB
T002,U01,A,航段0,0.45,直连,,,102.86,122.00,true,接入102.84dB/回传79.85dB
T002,U01,A,航段0,0.50,直连,,,103.78,122.00,true,接入103.76dB/回传79.85dB
T002,U01,A,航段0,0.55,直连,,,104.60,122.00,true,接入104.59dB/回传79.85dB
T002,U01,A,航段0,0.60,直连,,,105.35,122.00,true,接入105.34dB/回传79.85dB
T002,U01,A,航段0,0.65,直连,,,106.05,122.00,true,接入106.04dB/回传79.85dB
T002,U01,A,航段0,0.70,直连,,,106.69,122.00,true,接入106.68dB/回传79.85dB
T002,U01,A,航段0,0.75,直连,,,107.29,122.00,true,接入107.28dB/回传79.85dB
T002,U01,A,航段0,0.80,直连,,,107.85,122.00,true,接入107.84dB/回传79.85dB
T002,U01,A,航段0,0.85,直连,,,108.37,122.00,true,接入108.37dB/回传79.85dB
T002,U01,A,航段0,0.90,直连,,,108.87,122.00,true,接入108.86dB/回传79.85dB
T002,U01,A,航段0,0.95,直连,,,109.34,122.00,true,接入109.33dB/回传79.85dB
T002,U01,A,航段0,1.00,直连,,,109.78,122.00,true,接入109.78dB/回传79.85dB
T002,U01,A,航段1,0.00,直连,,,109.78,122.00,true,接入109.78dB/回传79.85dB
T002,U01,A,航段1,0.05,直连,,,110.31,122.00,true,接入110.31dB/回传79.85dB
T002,U01,A,航段1,0.10,直连,,,110.83,122.00,true,接入110.82dB/回传79.85dB
T002,U01,A,航段1,0.15,直连,,,111.32,122.00,true,接入111.32dB/回传79.85dB
T002,U01,A,航段1,0.20,直连,,,111.80,122.00,true,接入111.79dB/回传79.85dB
T002,U01,A,航段1,0.25,直连,,,112.25,122.00,true,接入112.25dB/回传79.85dB
T002,U01,A,航段1,0.30,直连,,,112.69,122.00,true,接入112.69dB/回传79.85dB
T002,U01,A,航段1,0.35,直连,,,113.12,122.00,true,接入113.12dB/回传79.85dB
T002,U01,A,航段1,0.40,直连,,,113.53,122.00,true,接入113.52dB/回传79.85dB
T002,U01,A,航段1,0.45,直连,,,113.92,122.00,true,接入113.92dB/回传79.85dB
T002,U01,A,航段1,0.50,直连,,,114.30,122.00,true,接入114.29dB/回传79.85dB
T002,U01,A,航段1,0.55,直连,,,114.66,122.00,true,接入114.66dB/回传79.85dB
T002,U01,A,航段1,0.60,直连,,,115.01,122.00,true,接入115.01dB/回传79.85dB
T002,U01,A,航段1,0.65,直连,,,115.35,122.00,true,接入115.35dB/回传79.85dB
T002,U01,A,航段1,0.70,直连,,,115.68,122.00,true,接入115.68dB/回传79.85dB
T002,U01,A,航段1,0.75,直连,,,116.00,122.00,true,接入115.99dB/回传79.85dB
T002,U01,A,航段1,0.80,直连,,,116.30,122.00,true,接入116.30dB/回传79.85dB
T002,U01,A,航段1,0.85,直连,,,116.60,122.00,true,接入116.60dB/回传79.85dB
T002,U01,A,航段1,0.90,直连,,,116.89,122.00,true,接入116.89dB/回传79.85dB
T002,U01,A,航段1,0.95,直连,,,117.17,122.00,true,接入117.17dB/回传79.85dB
T002,U01,A,航段1,1.00,直连,,,117.44,122.00,true,接入117.44dB/回传79.85dB
T002,U01,A,航段2,0.00,直连,,,117.44,122.00,true,接入117.44dB/回传79.85dB
T002,U01,A,航段2,0.05,直连,,,116.99,122.00,true,接入116.99dB/回传79.85dB
T002,U01,A,航段2,0.10,直连,,,116.52,122.00,true,接入116.52dB/回传79.85dB
T002,U01,A,航段2,0.15,直连,,,116.03,122.00,true,接入116.03dB/回传79.85dB
T002,U01,A,航段2,0.20,直连,,,115.50,122.00,true,接入115.50dB/回传79.85dB
T002,U01,A,航段2,0.25,直连,,,114.94,122.00,true,接入114.94dB/回传79.85dB
T002,U01,A,航段2,0.30,直连,,,114.34,122.00,true,接入114.34dB/回传79.85dB
T002,U01,A,航段2,0.35,直连,,,113.70,122.00,true,接入113.70dB/回传79.85dB
T002,U01,A,航段2,0.40,直连,,,113.00,122.00,true,接入113.00dB/回传79.85dB
T002,U01,A,航段2,0.45,直连,,,112.25,122.00,true,接入112.24dB/回传79.85dB
T002,U01,A,航段2,0.50,直连,,,111.42,122.00,true,接入111.42dB/回传79.85dB
T002,U01,A,航段2,0.55,直连,,,110.51,122.00,true,接入110.50dB/回传79.85dB
T002,U01,A,航段2,0.60,直连,,,109.48,122.00,true,接入109.48dB/回传79.85dB
T002,U01,A,航段2,0.65,直连,,,108.33,122.00,true,接入108.32dB/回传79.85dB
T002,U01,A,航段2,0.70,直连,,,106.99,122.00,true,接入106.98dB/回传79.85dB
T002,U01,A,航段2,0.75,直连,,,105.41,122.00,true,接入105.40dB/回传79.85dB
T002,U01,A,航段2,0.80,直连,,,103.48,122.00,true,接入103.46dB/回传79.85dB
T002,U01,A,航段2,0.85,直连,,,100.99,122.00,true,接入100.96dB/回传79.85dB
T002,U01,A,航段2,0.90,直连,,,97.51,122.00,true,接入97.44dB/回传79.85dB
T002,U01,A,航段2,0.95,直连,,,91.71,122.00,true,接入91.42dB/回传79.85dB
T002,U01,A,航段2,1.00,直连,,,79.85,122.00,true,接入40.05dB/回传79.85dB
T003,U08,C,航段0,0.00,直连,,,79.85,122.00,true,接入40.05dB/回传79.85dB
T003,U08,C,航段0,0.05,直连,,,85.24,122.00,true,接入83.76dB/回传79.85dB
T003,U08,C,航段0,0.10,直连,,,90.20,122.00,true,接入89.78dB/回传79.85dB
T003,U08,C,航段0,0.15,直连,,,93.49,122.00,true,接入93.30dB/回传79.85dB
T003,U08,C,航段0,0.20,直连,,,95.91,122.00,true,接入95.80dB/回传79.85dB
T003,U08,C,航段0,0.25,直连,,,97.81,122.00,true,接入97.74dB/回传79.85dB
T003,U08,C,航段0,0.30,直连,,,99.37,122.00,true,接入99.32dB/回传79.85dB
T003,U08,C,航段0,0.35,直连,,,100.70,122.00,true,接入100.66dB/回传79.85dB
T003,U08,C,航段0,0.40,直连,,,101.85,122.00,true,接入101.82dB/回传79.85dB
T003,U08,C,航段0,0.45,直连,,,102.86,122.00,true,接入102.84dB/回传79.85dB
T003,U08,C,航段0,0.50,直连,,,103.78,122.00,true,接入103.76dB/回传79.85dB
T003,U08,C,航段0,0.55,直连,,,104.60,122.00,true,接入104.59dB/回传79.85dB
T003,U08,C,航段0,0.60,直连,,,105.35,122.00,true,接入105.34dB/回传79.85dB
T003,U08,C,航段0,0.65,直连,,,106.05,122.00,true,接入106.04dB/回传79.85dB
T003,U08,C,航段0,0.70,直连,,,106.69,122.00,true,接入106.68dB/回传79.85dB
T003,U08,C,航段0,0.75,直连,,,107.29,122.00,true,接入107.28dB/回传79.85dB
T003,U08,C,航段0,0.80,直连,,,107.85,122.00,true,接入107.84dB/回传79.85dB
T003,U08,C,航段0,0.85,直连,,,108.37,122.00,true,接入108.37dB/回传79.85dB
T003,U08,C,航段0,0.90,直连,,,108.87,122.00,true,接入108.86dB/回传79.85dB
T003,U08,C,航段0,0.95,直连,,,109.34,122.00,true,接入109.33dB/回传79.85dB
T003,U08,C,航段0,1.00,直连,,,109.78,122.00,true,接入109.78dB/回传79.85dB
T003,U08,C,航段1,0.00,直连,,,109.78,122.00,true,接入109.78dB/回传79.85dB
T003,U08,C,航段1,0.05,直连,,,110.15,122.00,true,接入110.15dB/回传79.85dB
T003,U08,C,航段1,0.10,直连,,,110.51,122.00,true,接入110.50dB/回传79.85dB
T003,U08,C,航段1,0.15,直连,,,110.84,122.00,true,接入110.84dB/回传79.85dB
T003,U08,C,航段1,0.20,直连,,,111.17,122.00,true,接入111.17dB/回传79.85dB
T003,U08,C,航段1,0.25,直连,,,111.49,122.00,true,接入111.48dB/回传79.85dB
T003,U08,C,航段1,0.30,直连,,,111.79,122.00,true,接入111.79dB/回传79.85dB
T003,U08,C,航段1,0.35,直连,,,112.09,122.00,true,接入112.08dB/回传79.85dB
T003,U08,C,航段1,0.40,直连,,,112.37,122.00,true,接入112.37dB/回传79.85dB
T003,U08,C,航段1,0.45,直连,,,112.64,122.00,true,接入112.64dB/回传79.85dB
T003,U08,C,航段1,0.50,直连,,,112.91,122.00,true,接入112.91dB/回传79.85dB
T003,U08,C,航段1,0.55,直连,,,113.17,122.00,true,接入113.17dB/回传79.85dB
T003,U08,C,航段1,0.60,直连,,,113.42,122.00,true,接入113.42dB/回传79.85dB
T003,U08,C,航段1,0.65,直连,,,113.67,122.00,true,接入113.66dB/回传79.85dB
T003,U08,C,航段1,0.70,直连,,,113.90,122.00,true,接入113.90dB/回传79.85dB
T003,U08,C,航段1,0.75,直连,,,114.14,122.00,true,接入114.13dB/回传79.85dB
T003,U08,C,航段1,0.80,直连,,,114.36,122.00,true,接入114.36dB/回传79.85dB
T003,U08,C,航段1,0.85,直连,,,114.58,122.00,true,接入114.58dB/回传79.85dB
T003,U08,C,航段1,0.90,直连,,,114.79,122.00,true,接入114.79dB/回传79.85dB
T003,U08,C,航段1,0.95,直连,,,115.00,122.00,true,接入115.00dB/回传79.85dB
T003,U08,C,航段1,1.00,直连,,,115.21,122.00,true,接入115.21dB/回传79.85dB
T003,U08,C,航段2,0.00,直连,,,115.21,122.00,true,接入115.21dB/回传79.85dB
T003,U08,C,航段2,0.05,直连,,,114.76,122.00,true,接入114.76dB/回传79.85dB
T003,U08,C,航段2,0.10,直连,,,114.29,122.00,true,接入114.29dB/回传79.85dB
T003,U08,C,航段2,0.15,直连,,,113.80,122.00,true,接入113.79dB/回传79.85dB
T003,U08,C,航段2,0.20,直连,,,113.27,122.00,true,接入113.27dB/回传79.85dB
T003,U08,C,航段2,0.25,直连,,,112.71,122.00,true,接入112.71dB/回传79.85dB
T003,U08,C,航段2,0.30,直连,,,112.11,122.00,true,接入112.11dB/回传79.85dB
T003,U08,C,航段2,0.35,直连,,,111.47,122.00,true,接入111.46dB/回传79.85dB
T003,U08,C,航段2,0.40,直连,,,110.77,122.00,true,接入110.77dB/回传79.85dB
T003,U08,C,航段2,0.45,直连,,,110.02,122.00,true,接入110.01dB/回传79.85dB
T003,U08,C,航段2,0.50,直连,,,109.19,122.00,true,接入109.19dB/回传79.85dB
T003,U08,C,航段2,0.55,直连,,,108.28,122.00,true,接入108.27dB/回传79.85dB
T003,U08,C,航段2,0.60,直连,,,107.26,122.00,true,接入107.25dB/回传79.85dB
T003,U08,C,航段2,0.65,直连,,,106.10,122.00,true,接入106.09dB/回传79.85dB
T003,U08,C,航段2,0.70,直连,,,104.76,122.00,true,接入104.75dB/回传79.85dB
T003,U08,C,航段2,0.75,直连,,,103.19,122.00,true,接入103.17dB/回传79.85dB
T003,U08,C,航段2,0.80,直连,,,101.26,122.00,true,接入101.23dB/回传79.85dB
T003,U08,C,航段2,0.85,直连,,,98.78,122.00,true,接入98.73dB/回传79.85dB
T003,U08,C,航段2,0.90,直连,,,95.33,122.00,true,接入95.21dB/回传79.85dB
T003,U08,C,航段2,0.95,直连,,,89.66,122.00,true,接入89.19dB/回传79.85dB
T003,U08,C,航段2,1.00,直连,,,79.85,122.00,true,接入40.05dB/回传79.85dB
T004,U02,A,航段0,0.00,直连,,,79.85,122.00,true,接入40.05dB/回传79.85dB
T004,U02,A,航段0,0.05,直连,,,91.75,122.00,true,接入91.46dB/回传79.85dB
T004,U02,A,航段0,0.10,直连,,,97.55,122.00,true,接入97.48dB/回传79.85dB
T004,U02,A,航段0,0.15,直连,,,101.04,122.00,true,接入101.00dB/回传79.85dB
T004,U02,A,航段0,0.20,直连,,,103.52,122.00,true,接入103.50dB/回传79.85dB
T004,U02,A,航段0,0.25,直连,,,105.45,122.00,true,接入105.44dB/回传79.85dB
T004,U02,A,航段0,0.30,直连,,,107.03,122.00,true,接入107.02dB/回传79.85dB
T004,U02,A,航段0,0.35,直连,,,108.37,122.00,true,接入108.36dB/回传79.85dB
