架次编号,event_index,segment,phase,t_start,t_end,from_node,to_node
T001,0,-1,地面准备,0.0,125.05000000000001,O01,O01
T001,1,0,爬升,125.05000000000001,173.98509768690315,O01,S001
T001,2,0,巡航,173.98509768690315,540.9983303386765,O01,S001
T001,3,0,下降,540.9983303386765,589.9334280255796,O01,S001
T001,4,0,物资交接,589.9334280255796,614.4009768690312,O01,S001
T001,5,1,爬升,614.4009768690312,684.2893392645599,S001,S002
T001,6,1,巡航,684.2893392645599,1208.452057231025,S001,S002
T001,7,1,下降,1208.452057231025,1278.3404196265537,S001,S002
T001,8,1,物资交接,1278.3404196265537,1313.284600824318,S001,S002
T001,9,2,爬升,1313.284600824318,1438.3072744217582,S002,O01
T001,10,2,巡航,1438.3072744217582,2375.97732640256,S002,O01
T001,11,2,下降,2375.97732640256,2501.0,S002,O01
T002,0,-1,地面准备,0.0,121.505,O01,O01
T002,1,0,爬升,121.505,168.1602214679165,O01,S001
T002,2,0,巡航,168.1602214679165,518.0743824772902,O01,S001
T002,3,0,下降,518.0743824772902,564.7296039452067,O01,S001
T002,4,0,物资交接,564.7296039452067,588.057214679165,O01,S001
T002,5,1,爬升,588.057214679165,659.5843937179743,S001,S012
T002,6,1,巡航,659.5843937179743,1196.038236509044,S001,S012
T002,7,1,下降,1196.038236509044,1267.5654155478533,S001,S012
T002,8,1,物资交接,1267.5654155478533,1303.3290050672579,S001,S012
T002,9,2,爬升,1303.3290050672579,1421.9364782180728,S012,O01
T002,10,2,巡航,1421.9364782180728,2311.4925268491847,S012,O01
T002,11,2,下降,2311.4925268491847,2430.1,S012,O01
T003,0,-1,地面准备,0.0,105.2,O01,O01
T003,1,0,爬升,105.2,158.6987867710724,O01,S001
T003,2,0,巡航,158.6987867710724,559.9396875541154,O01,S001
T003,3,0,下降,559.9396875541154,613.4384743251878,O01,S001
T003,4,0,物资交接,613.4384743251878,640.187867710724,O01,S001
T003,5,1,爬升,640.187867710724,686.6293648824957,S001,S009
T003,6,1,巡航,686.6293648824957,1034.9405936707826,S001,S009
T003,7,1,下降,1034.9405936707826,1081.3820908425541,S001,S009
T003,8,1,物资交接,1081.3820908425541,1104.60283942844,S001,S009
T003,9,2,爬升,1104.60283942844,1209.8025405412357,S009,O01
T003,10,2,巡航,1209.8025405412357,1998.800298887204,S009,O01
T003,11,2,下降,1998.800298887204,2104.0,S009,O01
T004,0,-1,地面准备,0.0,100.33,O01,O01
T004,1,0,爬升,100.33,195.64350000000002,O01,S002
T004,2,0,巡航,195.64350000000002,910.49475,O01,S002
T004,3,0,下降,910.49475,1005.8082499999999,O01,S002
T004,4,0,物资交接,1005.8082499999999,1053.465,O01,S002
T004,5,1,爬升,1053.465,1153.7949999999998,S002,O01
T004,6,1,巡航,1153.7949999999998,1906.27,S002,O01
T004,7,1,下降,1906.27,2006.6,S002,O01
