运输架次编号,通信阶段,开始时刻（s）,结束时刻（s）,保障方式,中继架次编号
T001,工位准备与装载,0.0,540.0,直连,/
T001,O01->S001 爬升,540.0,598.1,直连,/
T001,O01->S001 巡航,598.1,802.3,直连,/
T001,O01->S001 下降,802.3,846.7,直连,/
T001,S001 物资交接,846.7,1206.7,直连,/
T001,S001->S002 爬升,1206.7,1256.0,直连,/
T001,S001->S002 巡航,1256.0,1316.4,直连,/
T001,S001->S002 巡航,1316.4,1497.4,中继,RT01
T001,S001->S002 巡航,1497.4,1547.7,中继,RT02
T001,S001->S002 下降,1547.7,1591.6,中继,RT02
T001,S002 物资交接,1591.6,1879.6,中继,RT02
T001,S002->O01 爬升,1879.6,1915.1,中继,RT02
T001,S002->O01 巡航,1915.1,1970.1,中继,RT02
T001,S002->O01 巡航,1970.1,2150.4,中继,RT01
T001,S002->O01 巡航,2150.4,2410.8,直连,/
T001,S002->O01 下降,2410.8,2501.0,直连,/
T002,工位准备与装载,0.0,390.0,直连,/
T002,O01->S001 爬升,390.0,438.4,直连,/
T002,O01->S001 巡航,438.4,693.7,直连,/
T002,O01->S001 下降,693.7,729.2,直连,/
T002,S001 物资交接,729.2,939.2,直连,/
T002,S001->S012 爬升,939.2,1022.4,直连,/
T002,S001->S012 巡航,1022.4,1187.9,直连,/
T002,S001->S012 巡航,1187.9,1218.0,中继,RT01
T002,S001->S012 巡航,1218.0,1413.7,中继,RT02
T002,S001->S012 下降,1413.7,1475.2,中继,RT02
T002,S012 物资交接,1475.2,1655.2,中继,RT02
T002,S012->O01 爬升,1655.2,1699.5,中继,RT02
T002,S012->O01 巡航,1699.5,1935.1,中继,RT02
T002,S012->O01 巡航,1935.1,1990.2,中继,RT01
T002,S012->O01 巡航,1990.2,2316.0,直连,/
T002,S012->O01 下降,2316.0,2430.0,直连,/
T003,工位准备与装载,0.0,480.0,直连,/
T003,O01->S001 爬升,480.0,538.1,直连,/
T003,O01->S001 巡航,538.1,742.3,直连,/
T003,O01->S001 下降,742.3,786.7,直连,/
T003,S001 物资交接,786.7,1146.7,直连,/
T003,S001->S009 爬升,1146.7,1190.2,直连,/
T003,S001->S009 巡航,1190.2,1251.0,直连,/
T003,S001->S009 巡航,1251.0,1367.5,中继,RT01
T003,S001->S009 下降,1367.5,1398.9,中继,RT01
T003,S009 物资交接,1398.9,1614.9,中继,RT01
T003,S009->O01 爬升,1614.9,1639.9,中继,RT01
T003,S009->O01 巡航,1639.9,1760.4,中继,RT01
T003,S009->O01 巡航,1760.4,2021.5,直连,/
T003,S009->O01 下降,2021.5,2104.0,直连,/
T004,工位准备与装载,0.0,360.0,直连,/
T004,O01->S002 爬升,360.0,420.1,直连,/
T004,O01->S002 巡航,420.1,752.6,直连,/
T004,O01->S002 巡航,752.6,787.9,中继,RT02
T004,O01->S002 巡航,787.9,974.3,中继,RT01
T004,O01->S002 巡航,974.3,1039.8,中继,RT02
T004,O01->S002 下降,1039.8,1075.2,中继,RT02
T004,S002 物资交接,1075.2,1285.2,中继,RT02
T004,S002->O01 爬升,1285.2,1314.8,中继,RT02
T004,S002->O01 巡航,1314.8,1385.3,中继,RT02
T004,S002->O01 巡航,1385.3,1606.9,中继,RT01
T004,S002->O01 巡航,1606.9,1934.4,直连,/
T004,S002->O01 下降,1934.4,2006.5,直连,/
T005,工位准备与装载,0.0,390.0,直连,/
T005,O01->S014 爬升,390.0,542.7,直连,/
T005,O01->S014 巡航,542.7,808.3,直连,/
T005,O01->S014 巡航,808.3,903.5,中继,RT02
T005,O01->S014 下降,903.5,997.4,中继,RT02
T005,S014 物资交接,997.4,1237.4,中继,RT02
T005,S014->O01 爬升,1237.4,1315.8,中继,RT02
T005,S014->O01 巡航,1315.8,1416.0,中继,RT02
T005,S014->O01 巡航,1416.0,1676.5,直连,/
T005,S014->O01 下降,1676.5,1859.8,直连,/
T006,工位准备与装载,0.0,390.0,直连,/
T006,O01->S006 爬升,390.0,469.5,直连,/
T006,O01->S006 巡航,469.5,681.6,直连,/
T006,O01->S006 下降,681.6,702.1,直连,/
T006,S006 物资交接,702.1,942.1,直连,/
T006,S006->O01 爬升,942.1,959.2,直连,/
T006,S006->O01 巡航,959.2,1171.3,直连,/
T006,S006->O01 下降,1171.3,1266.7,直连,/
T007,工位准备与装载,0.0,360.0,直连,/
T007,O01->S012 爬升,360.0,455.0,直连,/
T007,O01->S012 巡航,455.0,785.8,直连,/
T007,O01->S012 巡航,785.8,790.9,中继,RT02
T007,O01->S012 巡航,790.9,841.0,中继,RT01
T007,O01->S012 巡航,841.0,1071.6,中继,RT02
T007,O01->S012 下降,1071.6,1124.7,中继,RT02
T007,S012 物资交接,1124.7,1334.7,中继,RT02
T007,S012->O01 爬升,1334.7,1379.1,中继,RT02
T007,S012->O01 巡航,1379.1,1614.6,中继,RT02
T007,S012->O01 巡航,1614.6,1669.8,中继,RT01
T007,S012->O01 巡航,1669.8,1995.6,直连,/
T007,S012->O01 下降,1995.6,2109.6,直连,/
T008,工位准备与装载,0.0,360.0,直连,/
T008,O01->S007 爬升,360.0,484.3,直连,/
T008,O01->S007 巡航,484.3,816.8,直连,/
T008,O01->S007 巡航,816.8,862.1,中继,RT01
T008,O01->S007 下降,862.1,922.9,中继,RT01
T008,S007 物资交接,922.9,1132.9,中继,RT01
T008,S007->O01 爬升,1132.9,1183.6,中继,RT01
T008,S007->O01 巡航,1183.6,1234.0,中继,RT01
T008,S007->O01 巡航,1234.0,1561.4,直连,/
T008,S007->O01 下降,1561.4,1710.6,直连,/
T009,工位准备与装载,1710.6,2100.6,直连,/
T009,O01->S006 爬升,2100.6,2180.1,直连,/
T009,O01->S006 巡航,2180.1,2445.2,直连,/
T009,O01->S006 下降,2445.2,2465.7,直连,/
T009,S006 物资交接,2465.7,2645.7,直连,/
T009,S006->S007 爬升,2645.7,2735.0,直连,/
T009,S006->S007 巡航,2735.0,2883.4,直连,/
T009,S006->S007 巡航,2883.4,2939.6,中继,RT01
T009,S006->S007 巡航,2939.6,2944.7,直连,/
