架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
T001,U07,C,BAT_C_01,0.0,S010 -> S014,2439.7,4.369
T002,U08,C,BAT_C_02,0.0,S006,1495.0,2.536
T003,U08,C,BAT_C_03,1495.0,S001 -> S013,3548.3,3.846
T004,U01,A,BAT_A_01,0.0,S006 -> S003,2574.9,3.019
T005,U02,A,BAT_A_02,0.0,S007,1710.6,1.964
T006,U05,B,BAT_B_01,0.0,S013,1444.5,1.739
T007,U07,C,BAT_C_04,2439.7,S001 -> S011,4330.5,3.244
T008,U03,A,BAT_A_03,0.0,S009 -> S002,2277.7,3.003
T009,U04,A,BAT_A_04,0.0,S002 -> S012,2577.8,3.542
T010,U02,A,BAT_A_05,1710.6,S012,3820.3,3.061
T011,U03,A,BAT_A_06,2277.7,S007 -> S003,4740.9,3.016
T012,U08,C,BAT_C_02,3548.3,S005 -> S008,6052.5,5.758
T013,U06,B,BAT_B_02,0.0,S004,1928.8,2.68
T014,U01,A,BAT_A_02,2778.9,S009 -> S001,4684.9,2.381
T015,U04,A,BAT_A_03,3646.2,S005 -> S004,6123.8,3.206
T016,U02,A,BAT_A_01,3948.0,S015,5913.5,2.474
T017,U07,C,BAT_C_01,4457.4,S001,5688.6,2.081
T018,U07,C,BAT_C_03,5688.6,S002 -> S001,8057.6,5.78
T019,U05,B,BAT_B_03,1444.5,S008 -> S001,3678.4,3.151
T020,U06,B,BAT_B_04,1928.8,S007,3488.3,1.65
T021,U06,B,BAT_B_01,3488.3,S004,5417.1,2.753
T022,U05,B,BAT_B_02,3757.7,S009 -> S010,5848.2,2.499
T023,U01,A,BAT_A_04,4684.9,S001 -> S005,6644.0,2.318
T024,U03,A,BAT_A_05,5205.7,S003,7456.1,3.078
T025,U02,A,BAT_A_02,5913.5,S003,8103.9,2.926
T026,U08,C,BAT_C_04,6052.5,S003,8143.7,4.752
T027,U06,B,BAT_B_04,5417.1,S001 -> S003,7870.9,2.904
T028,U05,B,BAT_B_03,5848.2,S015 -> S005,8094.9,2.774
T029,U04,A,BAT_A_06,6123.8,S005 -> S011,8067.6,2.225
