货箱编号,架次编号,服务区编号,交付完成时刻（s）
S010-MED-01,T001,S010,1183.8
S014-MED-01,T001,S014,1503.9
S014-WAT-01,T001,S014,1503.9
S014-FOD-01,T001,S014,1503.9
S010-WAT-01,T001,S010,1183.8
S006-HYG-01,T002,S006,1143.1
S006-FOD-01,T002,S006,1143.1
S006-WAT-01,T002,S006,1143.1
S006-WAT-02,T002,S006,1143.1
S006-WAT-03,T002,S006,1143.1
S001-WAT-04,T003,S001,2575.7
S001-WAT-05,T003,S001,2575.7
S001-WAT-06,T003,S001,2575.7
S001-FOD-01,T003,S001,2575.7
S013-MED-01,T003,S013,2749.9
S006-MED-01,T004,S006,905.1
S003-HYG-01,T004,S003,1547.7
S007-WAT-01,T005,S007,1132.9
S007-FOD-01,T005,S007,1132.9
S013-FOD-01,T006,S013,999.8
S013-WAT-01,T006,S013,999.8
S001-MED-01,T007,S001,3550.4
S001-WAT-02,T007,S001,3550.4
S001-WAT-01,T007,S001,3550.4
S011-WAT-01,T007,S011,3705.0
S001-WAT-03,T007,S001,3550.4
S011-MED-01,T007,S011,3705.0
S009-MED-01,T008,S009,1127.0
S002-WAT-01,T008,S002,1376.3
S002-MED-01,T008,S002,1376.3
S002-WAT-02,T009,S002,1255.2
S012-MED-01,T009,S012,1622.9
S012-FOD-01,T010,S012,3045.3
S012-WAT-01,T010,S012,3045.3
S007-MED-01,T011,S007,3410.6
S003-WAT-01,T011,S003,3713.6
S003-MED-01,T011,S003,3713.6
S005-HYG-01,T012,S005,4746.8
S008-HYG-01,T012,S008,5101.8
S005-WAT-01,T012,S005,4746.8
S008-WAT-01,T012,S008,5101.8
S008-MED-01,T012,S008,5101.8
S004-HYG-01,T013,S004,1246.0
S004-WAT-01,T013,S004,1246.0
S009-WAT-01,T014,S009,3875.9
S001-FOD-02,T014,S001,4161.9
S005-MED-01,T015,S005,4775.1
S004-MED-01,T015,S004,5131.9
S004-WAT-02,T015,S004,5131.9
S015-WAT-01,T016,S015,5204.1
S015-MED-01,T016,S015,5204.1
S001-WAT-07,T017,S001,5376.1
S001-WAT-08,T017,S001,5376.1
S002-WAT-03,T018,S002,7140.8
S002-WAT-04,T018,S002,7140.8
S002-HYG-01,T018,S002,7140.8
S001-HYG-02,T018,S001,7385.2
S002-FOD-02,T018,S002,7140.8
S002-FOD-01,T018,S002,7140.8
S008-FOD-01,T019,S008,2703.2
S001-MED-02,T019,S001,3176.4
S008-WAT-02,T019,S008,2703.2
S007-HYG-01,T020,S007,2986.2
S007-WAT-02,T020,S007,2986.2
S004-WAT-03,T021,S004,4734.3
S004-FOD-01,T021,S004,4734.3
S009-FOD-01,T022,S009,4759.3
S010-FOD-01,T022,S010,5200.0
S001-FOD-03,T023,S001,5564.1
S005-WAT-03,T023,S005,5900.6
S003-FOD-02,T024,S003,6608.8
S003-WAT-03,T024,S003,6608.8
S003-WAT-04,T025,S003,7256.6
S003-WAT-02,T026,S003,7360.5
S001-HYG-01,T027,S001,6245.3
S003-FOD-01,T027,S003,6964.7
S015-FOD-01,T028,S015,6974.0
S005-WAT-02,T028,S005,7439.9
S005-FOD-01,T029,S005,7222.7
S011-FOD-01,T029,S011,7560.9
