架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
1,U05,B,B-B1,0.0,O01-S001-O01,1210.357307481658,1.07706112093186
2,U06,B,B-B2,0.0,O01-S002-S009-O01,2031.130267850364,2.555200541211188
3,U01,A,A-B1,0.0,O01-S006-O01,1312.614983459957,1.309552565019477
4,U05,B,B-B3,1210.357307481658,O01-S007-O01,2831.67155534766,1.773789697312897
5,U02,A,A-B2,0.0,O01-S010-O01,1653.852469173274,1.952497453607575
6,U03,A,A-B3,0.0,O01-S013-O01,1609.378799619495,1.956639622301337
7,U04,A,A-B4,0.0,O01-S012-O01,2110.414682835104,2.961017898879212
8,U06,B,B-B4,2031.130267850364,O01-S014-O01,3899.727719203848,2.137230065547203
9,U05,B,B-B1,2831.67155534766,O01-S003-O01,4911.913030144111,2.779098226629014
10,U01,A,A-B5,1312.614983459957,O01-S004-O01,3496.574384432942,3.098601353744636
11,U03,A,A-B6,1609.378799619495,O01-S008-O01,3785.582817567105,3.211516778040948
12,U02,A,A-B1,2190.930168910028,O01-S015-O01,4161.140015886847,2.475679765886502
13,U06,B,B-B2,3899.727719203848,O01-S005-S011-O01,5725.695438764684,1.920814388943165
14,U04,A,A-B3,2674.630246062104,O01-S009-O01,4366.164732301053,2.338224812963323
15,U07,C,C-B1,0.0,O01-S011-O01,1209.827964365996,1.885689278446697
16,U08,C,C-B2,0.0,O01-S001-O01,1495.426177517465,3.004658054016181
17,U07,C,C-B3,1209.827964365996,O01-S001-O01,2705.254141883462,2.412132713018714
18,U08,C,C-B4,1495.426177517465,O01-S002-O01,3606.432934762715,6.124980129596356
19,U07,C,C-B1,2705.254141883462,O01-S006-O01,4134.117441314188,2.32417823431598
20,U01,A,A-B2,3496.574384432942,O01-S007-O01,5149.016020152489,1.866341573353065
21,U03,A,A-B4,3785.582817567105,O01-S003-O01,6047.859810395351,3.082684773111333
22,U05,B,B-B3,4911.913030144111,O01-S003-O01,6932.154504940561,2.935562245577591
23,U06,B,B-B4,5725.695438764684,O01-S004-O01,7651.466448312603,3.046940528050946
24,U02,A,A-B5,4891.725886625837,O01-S008-O01,7067.929904573448,3.320433083009345
25,U01,A,A-B6,5213.35433122338,O01-S010-O01,6807.206800396654,1.865675940012615
26,U04,A,A-B1,5376.336392698504,O01-S012-O01,7426.751075533608,2.833102039852323
27,U03,A,A-B3,6047.859810395351,O01-S013-O01,7597.238610014846,1.86999829825535
28,U05,B,B-B1,6932.154504940561,O01-S004-O01,8857.925514488481,2.510800311401707
29,U01,A,A-B2,6807.206800396654,O01-S005-O01,8502.964905065119,2.201420948740465
30,U06,B,B-B2,7651.466448312603,O01-S005-O01,9170.490792724459,1.841541170395649
31,U05,B,B-B3,8870.898144690851,O01-S007-O01,10372.21239255685,1.459402567282611
32,U06,B,B-B4,9638.474010468013,O01-S003-O01,11598.71548526446,2.287463497798717
33,U05,B,B-B1,10612.60564942922,O01-S008-O01,12458.49426792142,2.454122798657954
34,U02,A,A-B4,7438.41318929418,O01-S015-O01,9348.623036271,2.364401913989608
