货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-MED-01,1,S001,918.3019870741625
S001-WAT-01,1,S001,918.3019870741625
S001-MED-02,1,S001,918.3019870741625
S002-MED-01,2,S002,1191.884336264226
S002-WAT-01,2,S002,1191.884336264226
S009-MED-01,2,S009,1562.330899542935
S006-MED-01,3,S006,935.070825063312
S006-WAT-01,3,S006,935.070825063312
S007-MED-01,4,S007,2328.654431414659
S007-WAT-01,4,S007,2328.654431414659
S007-FOD-01,4,S007,2328.654431414659
S010-MED-01,5,S010,1104.462901253304
S010-WAT-01,5,S010,1104.462901253304
S013-MED-01,6,S013,1082.222733143081
S013-WAT-01,6,S013,1082.222733143081
S012-WAT-01,7,S012,1335.137341417552
S012-MED-01,7,S012,1335.137341417552
S014-WAT-01,8,S014,3272.985660193773
S014-MED-01,8,S014,3272.985660193773
S014-FOD-01,8,S014,3272.985660193773
S003-MED-01,9,S003,4179.765626079219
S003-WAT-01,9,S003,4179.765626079219
S003-FOD-01,9,S003,4179.765626079219
S004-MED-01,10,S004,2686.241350613117
S004-WAT-01,10,S004,2686.241350613117
S008-MED-01,11,S008,2977.707475259967
S008-WAT-01,11,S008,2977.707475259967
S015-MED-01,12,S015,3449.475092398438
S015-WAT-01,12,S015,3449.475092398438
S005-MED-01,13,S005,4971.996558076442
S011-MED-01,13,S011,5444.542961505188
S005-WAT-01,13,S005,4971.996558076442
S009-WAT-01,14,S009,3801.987489181578
S009-FOD-01,14,S009,3801.987489181578
S011-WAT-01,15,S011,906.6939821829981
S011-FOD-01,15,S011,906.6939821829981
S001-WAT-02,16,S001,1182.898088758733
S001-WAT-03,16,S001,1182.898088758733
S001-WAT-04,16,S001,1182.898088758733
S001-WAT-05,16,S001,1182.898088758733
S001-WAT-06,16,S001,1182.898088758733
S001-FOD-01,16,S001,1182.898088758733
S001-WAT-07,17,S001,2392.726053124729
S001-WAT-08,17,S001,2392.726053124729
S001-FOD-02,17,S001,2392.726053124729
S001-FOD-03,17,S001,2392.726053124729
S001-HYG-01,17,S001,2392.726053124729
S001-HYG-02,17,S001,2392.726053124729
S002-WAT-02,18,S002,2984.33955614009
S002-WAT-03,18,S002,2984.33955614009
S002-WAT-04,18,S002,2984.33955614009
S002-FOD-01,18,S002,2984.33955614009
S002-FOD-02,18,S002,2984.33955614009
S002-HYG-01,18,S002,2984.33955614009
S006-WAT-02,19,S006,3782.330791598825
S006-WAT-03,19,S006,3782.330791598825
S006-FOD-01,19,S006,3782.330791598825
S006-HYG-01,19,S006,3782.330791598825
S007-WAT-02,20,S007,4570.435202292716
S003-WAT-02,21,S003,5194.694647314562
S003-FOD-02,21,S003,5194.694647314562
S003-WAT-03,22,S003,6200.007100875669
S003-WAT-04,22,S003,6200.007100875669
S004-WAT-02,23,S004,6970.22761020531
S004-WAT-03,23,S004,6970.22761020531
S008-WAT-02,24,S008,6260.054562266308
S008-FOD-01,24,S008,6260.054562266308
S010-FOD-01,25,S010,6257.817232476684
S012-FOD-01,26,S012,6651.473734116056
S013-FOD-01,27,S013,7070.082543538432
S004-FOD-01,28,S004,8176.686676381188
S004-HYG-01,28,S004,8176.686676381188
S005-WAT-02,29,S005,7937.842519397553
S005-FOD-01,29,S005,7937.842519397553
S005-WAT-03,30,S005,8693.735287185198
S005-HYG-01,30,S005,8693.735287185198
S007-HYG-01,31,S007,9869.195268623851
S003-HYG-01,32,S003,10866.56808119957
S008-HYG-01,33,S008,11785.77662534199
S015-FOD-01,34,S015,8636.95811278259
