服务区,机型,架次数,总能耗kWh,累计作业时间s,O-S距离m,航段最大地面高程m,各架次四类货箱数量(医疗/水/食品/卫生)
S001,C,2,5.930891558743308,3188.8523567967823,3063.4071015377394,223.05661010742188,"(0, 3, 3, 2);(2, 5, 0, 0)"
S002,C,2,10.45254604043717,3958.0135364793414,7435.268330767258,258.9542541503906,"(0, 2, 1, 1);(1, 2, 1, 0)"
S003,C,2,10.494329419795909,4607.619081928281,7261.065691752539,511.80413818359375,"(0, 2, 1, 1);(1, 2, 1, 0)"
S004,C,1,6.1768503245662005,2305.1840658777805,7745.651749576517,348.2391662597656,"(1, 3, 1, 1)"
S005,C,1,4.238729392065783,1880.044640711941,5302.0128082692445,276.410888671875,"(1, 3, 1, 1)"
S006,C,1,2.593931535400584,1560.8633002291833,3181.0289204200467,316.09783935546875,"(1, 3, 1, 1)"
S007,C,1,3.403280048039166,1889.2244112123938,4533.821673570493,451.8304748535156,"(1, 2, 1, 1)"
S008,C,1,5.857443601789076,2203.7584015234115,8109.462025707814,322.9093322753906,"(1, 2, 1, 1)"
S009,B,1,2.102428289034883,1560.778742425922,5722.6725323057435,243.22891235351562,"(1, 1, 1, 0)"
S010,B,1,1.821002074070286,1554.5713628705523,4778.433329439298,385.63653564453125,"(1, 1, 1, 0)"
S011,B,1,1.0759644330472908,1186.6782884520967,2817.147838439553,243.34902954101562,"(1, 1, 1, 0)"
S012,B,1,2.755189908329574,1923.8000621624924,7398.439522615177,363.3009948730469,"(1, 1, 1, 0)"
S013,B,1,1.8245313828558272,1510.4000547131038,4848.700349313123,349.18182373046875,"(1, 1, 1, 0)"
S014,B,1,2.137230076262342,1868.5974553799992,5410.909650701556,541.9473876953125,"(1, 1, 1, 0)"
S015,B,1,2.310842814287826,1829.573004744529,6019.105726501936,521.7992553710938,"(1, 1, 1, 0)"
