架次,运输无人机,共享电池,服务区,开始s,逐箱交付s,返回s,机型,载荷kg,能耗kWh,货箱编号
1,U07,C-B1,S001,0.0,1119.7130891991956,1429.4261783983911,C,59.0,2.4674298354243414,S001-MED-01;S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-WAT-04
2,U08,C-B2,S001,0.0,1119.7130891991956,1429.4261783983911,C,59.0,2.4674298354243414,S001-MED-02;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08
3,U07,C-B3,S002,1429.4261783983911,2856.9295625182267,3474.432946638062,C,59.0,5.87159176594214,S002-MED-01;S002-WAT-01;S002-WAT-02;S002-WAT-03;S002-WAT-04
4,U08,C-B4,S006,1429.4261783983911,2515.857828512983,2858.2894786275747,C,45.0,2.362454786796713,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03
5,U01,A-B1,S007,0.0,1141.2208210234526,1712.4416420469051,A,17.0,1.8990157341114042,S007-MED-01;S007-WAT-02
6,U05,B-B1,S010,0.0,1032.2856814352763,1494.5713628705523,B,17.0,1.634183060875663,S010-MED-01;S010-WAT-01
7,U06,B-B2,S013,0.0,1010.2000273565519,1450.4000547131038,B,17.0,1.636205638172953,S013-MED-01;S013-WAT-01
8,U02,A-B2,S012,0.0,1340.2073564581658,2110.4147129163316,A,17.0,2.9610179679583335,S012-MED-01;S012-WAT-01
9,U03,A-B3,S014,0.0,1279.4805552016921,1988.9611104033843,A,17.0,2.2875766131775457,S014-MED-01;S014-WAT-01
10,U04,A-B4,S007,0.0,1081.2208210234526,1652.4416420469051,A,14.0,1.8663415876452953,S007-WAT-01
11,U08,C-B1,S003,2931.021758825817,4520.926529307887,5300.8312997899575,C,59.0,5.895359205482459,S003-MED-01;S003-WAT-01;S003-WAT-02;S003-WAT-03;S003-WAT-04
12,U06,B-B3,S004,1450.4000547131038,2698.285559942033,3376.1710651709627,B,17.0,2.5863131260493595,S004-MED-01;S004-WAT-03
13,U07,C-B2,S008,3474.432946638062,4849.312147399767,5546.191348161474,C,31.0,5.483496892698224,S008-MED-01;S008-WAT-01;S008-WAT-02
14,U04,A-B5,S015,1652.4416420469051,2922.546573194202,3622.651504341499,A,17.0,2.4756798010625385,S015-MED-01;S015-WAT-01
15,U08,C-B4,S001,5300.8312997899575,6420.544388989153,6730.257478188349,C,36.0,2.149915378632413,S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02
16,U07,C-B3,S002,5897.989049914058,7193.492434033894,7810.9958181537295,C,22.0,4.854835667031763,S002-FOD-01;S002-FOD-02;S002-HYG-01
17,U05,B-B4,S004,1494.5713628705523,2742.4568680994817,3420.3423733284108,B,28.0,3.0469405306148545,S004-WAT-01;S004-WAT-02
18,U06,B-B1,S006,3376.1710651709627,4264.461408726309,4582.751752281656,B,14.0,1.0646481148553482,S006-FOD-01;S006-HYG-01
19,U05,B-B2,S007,3420.3423733284108,4485.999499792355,4981.656626256299,B,14.0,1.5474038766915,S007-FOD-01;S007-HYG-01
20,U01,A-B6,S010,1712.4416420469051,2764.3678789728365,3306.2941158987674,A,8.0,1.8656759503081703,S010-FOD-01
21,U02,A-B4,S012,2691.6069895888795,3971.8143460470455,4742.021702505212,A,8.0,2.8331021060481385,S012-FOD-01
22,U03,A-B1,S013,2761.0461874568664,3792.0578873019704,4313.069587147074,A,8.0,1.8710079743363721,S013-FOD-01
23,U01,A-B3,S014,3306.2941158987674,4525.774671100459,5235.255226302152,A,8.0,2.1853286988556864,S014-FOD-01
24,U05,B-B3,S005,5163.573419792352,6208.085592036344,6682.597764280335,B,17.0,1.7782745584190598,S005-MED-01;S005-WAT-03
25,U06,B-B4,S009,5407.349936594848,6442.739307807809,6908.1286790207705,B,17.0,1.8848451019405823,S009-MED-01;S009-WAT-01
26,U04,A-B2,S011,3622.651504341499,4517.943112541539,4843.2347207415805,A,17.0,1.1542683536933405,S011-MED-01;S011-WAT-01
27,U05,B-B1,S003,6682.597764280335,7917.718511731806,8642.839259183278,B,8.0,2.3144586074021594,S003-FOD-01
28,U06,B-B2,S003,6908.1286790207705,8203.24942647224,8928.370173923713,B,14.0,2.4234040432133432,S003-FOD-02;S003-HYG-01
29,U03,A-B6,S004,4345.267168210017,5662.246869265222,6469.226570320427,A,8.0,2.9656516085662052,S004-FOD-01
30,U05,B-B3,S005,8642.839259183278,9687.351431427269,10161.863603671261,B,28.0,2.094143597288625,S005-WAT-01;S005-WAT-02
31,U08,C-B1,S008,7730.824417941456,9039.703618703163,9736.582819464867,C,14.0,5.197649350044006,S008-FOD-01;S008-HYG-01
32,U02,A-B5,S004,4837.847891315121,6154.827592370326,6961.807293425531,A,6.0,2.9448070180286896,S004-HYG-01
33,U07,C-B2,S005,7864.638423267243,8978.660743623213,9480.683063979184,C,14.0,3.427554679554607,S005-FOD-01;S005-HYG-01
34,U01,A-B1,S009,5353.58300195536,6424.35024870675,6985.11749545814,A,8.0,2.164450271780911,S009-FOD-01
35,U06,B-B4,S011,8928.370173923713,9716.709318149762,9995.04846237581,B,8.0,0.8958720222194618,S011-FOD-01
36,U04,A-B2,S015,5676.690022919656,6886.794954066953,7586.89988521425,A,8.0,2.3644019476974263,S015-FOD-01
