架次编号,服务区编号,机型编号,货箱编号列表,总质量（kg）,总体积（m³）,往返时间（s）,架次能耗（kWh）,返航SOC（%）
1,S001,C,S001-WAT-01;S001-WAT-02;S001-WAT-03;S001-FOD-01;S001-FOD-02;S001-FOD-03;S001-HYG-01;S001-HYG-02,78,0.235,1627.426177517465,3.004658054016181,62.44177432479774
2,S001,C,S001-MED-01;S001-MED-02;S001-WAT-04;S001-WAT-05;S001-WAT-06;S001-WAT-07;S001-WAT-08,76,0.159,1561.426177517465,2.926233492385858,63.42208134517677
3,S002,C,S002-WAT-01;S002-WAT-02;S002-FOD-01;S002-HYG-01,42,0.117,1979.00675724525,5.265258039078489,34.18427451151889
4,S002,C,S002-MED-01;S002-WAT-03;S002-WAT-04;S002-FOD-02,39,0.094,1979.00675724525,5.187287887642446,35.15890140446943
5,S003,C,S003-WAT-01;S003-WAT-02;S003-FOD-01;S003-HYG-01,42,0.117,2303.809520857648,5.286695350844084,33.91630811444895
6,S003,C,S003-MED-01;S003-WAT-03;S003-WAT-04;S003-FOD-02,39,0.094,2303.809520857648,5.207633860988663,34.90457673764171
7,S004,C,S004-MED-01;S004-WAT-01;S004-WAT-02;S004-WAT-03;S004-FOD-01;S004-HYG-01,59,0.156,2305.184064967841,6.17685031927974,22.78937100900325
8,S005,C,S005-MED-01;S005-WAT-01;S005-WAT-02;S005-WAT-03;S005-FOD-01;S005-HYG-01,59,0.156,1880.044640635813,4.238729391623504,47.01588260470619
9,S006,C,S006-MED-01;S006-WAT-01;S006-WAT-02;S006-WAT-03;S006-FOD-01;S006-HYG-01,59,0.156,1560.863299430727,2.593931530761803,67.57585586547746
10,S007,C,S007-MED-01;S007-WAT-01;S007-WAT-02;S007-FOD-01;S007-HYG-01,45,0.129,1889.224406150507,3.403280021243079,57.45899973446151
11,S008,C,S008-MED-01;S008-WAT-01;S008-WAT-02;S008-FOD-01;S008-HYG-01,45,0.129,2203.758395917333,5.857443572112204,26.78195534859745
12,S009,B,S009-MED-01;S009-WAT-01;S009-FOD-01,25,0.067,1560.778736614857,2.102428273570797,47.43929316073007
13,S010,B,S010-MED-01;S010-WAT-01;S010-FOD-01,25,0.067,1554.571359127682,1.821002064109965,54.47494839725088
14,S011,B,S011-MED-01;S011-WAT-01;S011-FOD-01,25,0.067,1186.678287852324,1.07596443145121,73.10088921371975
15,S012,B,S012-MED-01;S012-WAT-01;S012-FOD-01,25,0.067,1923.80003809751,2.755189844289167,31.12025389277082
16,S013,B,S013-MED-01;S013-WAT-01;S013-FOD-01,25,0.067,1507.755456199502,1.823473953193213,54.41315117016967
17,S014,B,S014-MED-01;S014-WAT-01;S014-FOD-01,25,0.067,1868.597451353484,2.137230065547203,46.56924836131994
18,S015,B,S015-MED-01;S015-WAT-01;S015-FOD-01,25,0.067,1829.57299249031,2.310842781677572,42.2289304580607
