架次编号,无人机编号,机型编号,电池编号,开始时刻（s）,访问服务区顺序,返回O01时刻（s）,架次能耗（kWh）
1,U07,C,C-B1,0.0,S001,1429.426178398391,2.467429835424341
2,U08,C,C-B2,0.0,S001,1429.426178398391,2.467429835424341
3,U07,C,C-B3,1429.426178398391,S002,3474.432946638062,5.87159176594214
4,U08,C,C-B4,1429.426178398391,S006,2858.289478627575,2.362454786796713
5,U01,A,A-B1,0.0,S007,1712.441642046905,1.899015734111404
6,U05,B,B-B1,0.0,S010,1494.571362870552,1.634183060875663
7,U06,B,B-B2,0.0,S013,1450.400054713104,1.636205638172953
8,U02,A,A-B2,0.0,S012,2110.414712916332,2.961017967958333
9,U03,A,A-B3,0.0,S014,1988.961110403385,2.287576613177546
10,U04,A,A-B4,0.0,S007,1652.441642046905,1.866341587645296
11,U08,C,C-B1,2931.021758825817,S003,5300.831299789957,5.895359205482459
12,U06,B,B-B3,1450.400054713104,S004,3376.171065170963,2.586313126049359
13,U07,C,C-B2,3474.432946638062,S008,5546.191348161474,5.483496892698224
14,U04,A,A-B5,1652.441642046905,S015,3622.651504341499,2.475679801062538
15,U08,C,C-B4,5300.831299789957,S001,6730.257478188349,2.149915378632413
16,U07,C,C-B3,5897.989049914058,S002,7810.995818153729,4.854835667031763
17,U05,B,B-B4,1494.571362870552,S004,3420.342373328411,3.046940530614854
18,U06,B,B-B1,3376.171065170963,S006,4582.751752281656,1.064648114855348
19,U05,B,B-B2,3420.342373328411,S007,4981.656626256299,1.5474038766915
20,U01,A,A-B6,1712.441642046905,S010,3306.294115898768,1.86567595030817
21,U02,A,A-B4,2691.60698958888,S012,4742.021702505212,2.833102106048139
22,U03,A,A-B1,2761.046187456866,S013,4313.069587147074,1.871007974336372
23,U01,A,A-B3,3306.294115898768,S014,5235.255226302152,2.185328698855686
24,U05,B,B-B3,5163.573419792352,S005,6682.597764280335,1.77827455841906
25,U06,B,B-B4,5407.349936594848,S009,6908.128679020771,1.884845101940582
26,U04,A,A-B2,3622.651504341499,S011,4843.234720741581,1.15426835369334
27,U05,B,B-B1,6682.597764280335,S003,8642.839259183278,2.31445860740216
28,U06,B,B-B2,6908.128679020771,S003,8928.370173923713,2.423404043213343
29,U03,A,A-B6,4345.267168210017,S004,6469.226570320427,2.965651608566205
30,U05,B,B-B3,8642.839259183278,S005,10161.86360367126,2.094143597288625
31,U08,C,C-B1,7730.824417941456,S008,9736.582819464867,5.197649350044006
32,U02,A,A-B5,4837.847891315121,S004,6961.807293425531,2.94480701802869
33,U07,C,C-B2,7864.638423267243,S005,9480.683063979184,3.427554679554607
34,U01,A,A-B1,5353.58300195536,S009,6985.11749545814,2.164450271780911
35,U06,B,B-B4,8928.370173923713,S011,9995.04846237581,0.8958720222194618
36,U04,A,A-B2,5676.690022919656,S015,7586.89988521425,2.364401947697426
