货箱编号,架次编号,服务区编号,交付完成时刻（s）
S001-MED-01,1,S001,1119.713089199196
S001-WAT-01,1,S001,1119.713089199196
S001-WAT-02,1,S001,1119.713089199196
S001-WAT-03,1,S001,1119.713089199196
S001-WAT-04,1,S001,1119.713089199196
S001-MED-02,2,S001,1119.713089199196
S001-WAT-05,2,S001,1119.713089199196
S001-WAT-06,2,S001,1119.713089199196
S001-WAT-07,2,S001,1119.713089199196
S001-WAT-08,2,S001,1119.713089199196
S002-MED-01,3,S002,2856.929562518227
S002-WAT-01,3,S002,2856.929562518227
S002-WAT-02,3,S002,2856.929562518227
S002-WAT-03,3,S002,2856.929562518227
S002-WAT-04,3,S002,2856.929562518227
S006-MED-01,4,S006,2515.857828512983
S006-WAT-01,4,S006,2515.857828512983
S006-WAT-02,4,S006,2515.857828512983
S006-WAT-03,4,S006,2515.857828512983
S007-MED-01,5,S007,1141.220821023453
S007-WAT-02,5,S007,1141.220821023453
S010-MED-01,6,S010,1032.285681435277
S010-WAT-01,6,S010,1032.285681435277
S013-MED-01,7,S013,1010.200027356552
S013-WAT-01,7,S013,1010.200027356552
S012-MED-01,8,S012,1340.207356458166
S012-WAT-01,8,S012,1340.207356458166
S014-MED-01,9,S014,1279.480555201692
S014-WAT-01,9,S014,1279.480555201692
S007-WAT-01,10,S007,1081.220821023453
S003-MED-01,11,S003,4520.926529307887
S003-WAT-01,11,S003,4520.926529307887
S003-WAT-02,11,S003,4520.926529307887
S003-WAT-03,11,S003,4520.926529307887
S003-WAT-04,11,S003,4520.926529307887
S004-MED-01,12,S004,2698.285559942033
S004-WAT-03,12,S004,2698.285559942033
S008-MED-01,13,S008,4849.312147399767
S008-WAT-01,13,S008,4849.312147399767
S008-WAT-02,13,S008,4849.312147399767
S015-MED-01,14,S015,2922.546573194202
S015-WAT-01,14,S015,2922.546573194202
S001-FOD-01,15,S001,6420.544388989153
S001-FOD-02,15,S001,6420.544388989153
S001-FOD-03,15,S001,6420.544388989153
S001-HYG-01,15,S001,6420.544388989153
S001-HYG-02,15,S001,6420.544388989153
S002-FOD-01,16,S002,7193.492434033894
S002-FOD-02,16,S002,7193.492434033894
S002-HYG-01,16,S002,7193.492434033894
S004-WAT-01,17,S004,2742.456868099482
S004-WAT-02,17,S004,2742.456868099482
S006-FOD-01,18,S006,4264.461408726309
S006-HYG-01,18,S006,4264.461408726309
S007-FOD-01,19,S007,4485.999499792355
S007-HYG-01,19,S007,4485.999499792355
S010-FOD-01,20,S010,2764.367878972836
S012-FOD-01,21,S012,3971.814346047046
S013-FOD-01,22,S013,3792.057887301969
S014-FOD-01,23,S014,4525.774671100459
S005-MED-01,24,S005,6208.085592036344
S005-WAT-03,24,S005,6208.085592036344
S009-MED-01,25,S009,6442.739307807809
S009-WAT-01,25,S009,6442.739307807809
S011-MED-01,26,S011,4517.943112541539
S011-WAT-01,26,S011,4517.943112541539
S003-FOD-01,27,S003,7917.718511731806
S003-FOD-02,28,S003,8203.24942647224
S003-HYG-01,28,S003,8203.24942647224
S004-FOD-01,29,S004,5662.246869265222
S005-WAT-01,30,S005,9687.351431427269
S005-WAT-02,30,S005,9687.351431427269
S008-FOD-01,31,S008,9039.703618703164
S008-HYG-01,31,S008,9039.703618703164
S004-HYG-01,32,S004,6154.827592370326
S005-FOD-01,33,S005,8978.660743623213
S005-HYG-01,33,S005,8978.660743623213
S009-FOD-01,34,S009,6424.35024870675
S011-FOD-01,35,S011,9716.709318149762
S015-FOD-01,36,S015,6886.794954066953
